Subject,Year,State,value,percentage
10 to 14 years,2004,Rhode Island,73730,6.86115764
15 to 19 years,2004,Rhode Island,80581,7.49869719
20 to 24 years,2004,Rhode Island,78101,7.267913642
25 to 34 years,2004,Rhode Island,299215,27.84431416
35 to 44 years,2004,Rhode Island,163972,15.25888703
45 to 54 years,2004,Rhode Island,156391,14.55341522
55 to 59 years,2004,Rhode Island,62256,5.793411502
60 to 64 years,2004,Rhode Island,45973,4.278150009
65 to 74 years,2004,Rhode Island,68002,6.328122092
75 to 84 years,2004,Rhode Island,58427,5.437092872
85 years and over,2004,Rhode Island,23274,2.165829146
White,2004,Rhode Island,962437,89.56234878
Black,2004,Rhode Island,65958,6.137911781
American Indian,2004,Rhode Island,6366,0.592406477
Asian,2004,Rhode Island,28763,2.67662386
Native,2004,Rhode Island,1275,0.1186488
Two or more races,2004,Rhode Island,15833,1.473385446
Total population,2008,Rhode Island,1055000,100
Male,2008,Rhode Island,509591,48.30246445
Female,2008,Rhode Island,545412,51.69781991
Under 5 years,2008,Rhode Island,59081,5.600094787
5 to 9 years,2008,Rhode Island,60974,5.779526066
10 to 14 years,2008,Rhode Island,65974,6.253459716
15 to 19 years,2008,Rhode Island,82103,7.782274882
20 to 24 years,2008,Rhode Island,80076,7.59014218
25 to 34 years,2008,Rhode Island,272611,25.83990521
35 to 44 years,2008,Rhode Island,145423,13.78417062
45 to 54 years,2008,Rhode Island,162107,15.36559242
55 to 59 years,2008,Rhode Island,67195,6.369194313
60 to 64 years,2008,Rhode Island,55180,5.230331754
65 to 74 years,2008,Rhode Island,70415,6.674407583
75 to 84 years,2008,Rhode Island,53604,5.080947867
85 years and over,2008,Rhode Island,25683,2.434407583
White,2008,Rhode Island,932528.5,88.39132701
Black,2008,Rhode Island,71938.5,6.818815166
American Indian,2008,Rhode Island,8068,0.764739336
Asian,2008,Rhode Island,31573,2.992701422
Native,2008,Rhode Island,1505,0.142654028
Two or more races,2008,Rhode Island,20899.5,1.980995261
Total population,2012,Rhode Island,1052400,100
Male,2012,Rhode Island,508247,48.2940897
Female,2012,Rhode Island,543055,51.60157735
Under 5 years,2012,Rhode Island,55661,5.288958571
5 to 9 years,2012,Rhode Island,59454,5.649372862
10 to 14 years,2012,Rhode Island,61995,5.890820981
15 to 19 years,2012,Rhode Island,76632,7.281641961
20 to 24 years,2012,Rhode Island,83177,7.903553782
25 to 34 years,2012,Rhode Island,132528,12.59293044
35 to 44 years,2012,Rhode Island,129140,12.27099962
45 to 54 years,2012,Rhode Island,158065,15.01947929
55 to 59 years,2012,Rhode Island,75180,7.143671608
60 to 64 years,2012,Rhode Island,61999,5.891201064
65 to 74 years,2012,Rhode Island,82230,7.813568985
75 to 84 years,2012,Rhode Island,48816,4.638540479
85 years and over,2012,Rhode Island,27516,2.614595211
White,2012,Rhode Island,902620,85.76776891
Black,2012,Rhode Island,77919,7.403933865
American Indian,2012,Rhode Island,9770,0.928354238
Asian,2012,Rhode Island,34383,3.267103763
Native,2012,Rhode Island,1735,0.164861269
Two or more races,2012,Rhode Island,25966,2.467312809
Total population,2016,Rhode Island,1055000,100
Male,2016,Rhode Island,511949,48.52597156
Female,2016,Rhode Island,544349,51.59706161
Under 5 years,2016,Rhode Island,55128,5.225402844
5 to 9 years,2016,Rhode Island,56866,5.39014218
10 to 14 years,2016,Rhode Island,60536,5.738009479
15 to 19 years,2016,Rhode Island,73659,6.981895735
20 to 24 years,2016,Rhode Island,79833,7.567109005
25 to 34 years,2016,Rhode Island,141516,13.41383886
35 to 44 years,2016,Rhode Island,124128,11.7656872
45 to 54 years,2016,Rhode Island,149831,14.20199052
55 to 59 years,2016,Rhode Island,77841,7.378293839
60 to 64 years,2016,Rhode Island,66984,6.349194313
65 to 74 years,2016,Rhode Island,93354,8.848720379
75 to 84 years,2016,Rhode Island,48209,4.56957346
85 years and over,2016,Rhode Island,28413,2.693175355
White,2016,Rhode Island,895343,84.86663507
Black,2016,Rhode Island,83101,7.876872038
American Indian,2016,Rhode Island,10192,0.966066351
Asian,2016,Rhode Island,37871,3.589668246
Native,2016,Rhode Island,1882,0.178388626
Two or more races,2016,Rhode Island,27909,2.645402844
Voter Turnout percent,2016,South Dakota,69.62,69.62
Voter Turnout percent,2012,South Dakota,69.72,69.72
Voter Turnout percent,2008,South Dakota,73.02,73.02
Voter Turnout percent,2004,South Dakota,71.233,71.233
Voter Turnout percent,2000,South Dakota,66.73,66.73
Voter Turnout percent,2016,Rhode Island,59.3,59.3
Voter Turnout percent,2012,Rhode Island,62.5,62.5
Voter Turnout percent,2008,Rhode Island,67.4,67.4
Voter Turnout percent,2004,Rhode Island,63.7,63.7
Voter Turnout percent,2000,Rhode Island,63.5,63.5
Democrat vote percent,2000,South Dakota,35.72,35.72
Democrat vote percent,2004,South Dakota,38,38
Democrat vote percent,2008,South Dakota,43.05,43.05
Democrat vote percent,2012,South Dakota,38.28,38.28
Democrat vote percent,2016,South Dakota,28.28,28.28
Republican vote percent,2000,South Dakota,61.79,61.79
Republican vote percent,2004,South Dakota,60.25,60.25
Republican vote percent,2008,South Dakota,54.62,54.62
Republican vote percent,2012,South Dakota,59.58,59.58
Republican vote percent,2016,South Dakota,66,66
Democrat vote percent,2000,Rhode Island,61,61
Democrat vote percent,2004,Rhode Island,59.42,59.42
Democrat vote percent,2008,Rhode Island,62.86,62.86
Democrat vote percent,2012,Rhode Island,62.7,62.7
Democrat vote percent,2016,Rhode Island,54.4,54.4
Republican vote percent,2000,Rhode Island,31.9,31.9
Republican vote percent,2004,Rhode Island,38.67,38.67
Republican vote percent,2008,Rhode Island,35.06,35.06
Republican vote percent,2012,Rhode Island,35.2,35.2
Republican vote percent,2016,Rhode Island,38.9,38.9
Voter turnout percent-18-24,2000,South Dakota,24.6,24.6
Voter turnout percent-women,2000,South Dakota,50,50
Voter turnout percent-men,2000,South Dakota,50,50
Voter turnout percent-bachelors_deg,2000,South Dakota,75.4,75.4
Voter turnout percent-18_29,2004,South Dakota,50,50
Voter turnout percent-30_39,2004,South Dakota,60,60
Voter turnout percent-40_49,2004,South Dakota,71,71
Voter turnout percent-50_59,2004,South Dakota,77,77
Voter turnout percent-60_69,2004,South Dakota,88,88
Voter turnout percent-70_plus,2004,South Dakota,81,81
Voter turnout percent-18_29,2008,South Dakota,43,43
Voter turnout percent-30_39,2008,South Dakota,66,66
Voter turnout percent-40_49,2008,South Dakota,71,71
Voter turnout percent-50_59,2008,South Dakota,80,80
Voter turnout percent-60_69,2008,South Dakota,79,79
Voter turnout percent-70_plus,2008,South Dakota,82,82
Voter turnout percent-18_29,2012,South Dakota,36,36
Voter turnout percent-30_39,2012,South Dakota,56,56
Voter turnout percent-40_49,2012,South Dakota,62,62
Voter turnout percent-50_59,2012,South Dakota,73,73
Voter turnout percent-60_69,2012,South Dakota,79,79
Voter turnout percent-70_plus,2012,South Dakota,72,72
Voter turnout percent-women,2004,South Dakota,72,72
Voter turnout percent-men,2004,South Dakota,65,65
Voter turnout percent-women,2008,South Dakota,72,72
Voter turnout percent-men,2008,South Dakota,63,63
Voter turnout percent-women,2012,South Dakota,62,62
Voter turnout percent-men,2012,South Dakota,60,60
Voter turnout percent-no_high_school,2004,South Dakota,58,58
Voter turnout percent-high_school,2004,South Dakota,59,59
Voter turnout percent-college,2004,South Dakota,70,70
Voter turnout percent-college_degree_associate,2004,South Dakota,77,77
Voter turnout percent-college_degree_bachelor,2004,South Dakota,78,78
Voter turnout percent-advanced,2004,South Dakota,92,92
Voter turnout percent-no_high_school,2008,South Dakota,53,53
Voter turnout percent-high_school,2008,South Dakota,58,58
Voter turnout percent-college,2008,South Dakota,68,68
Voter turnout percent-college_degree_associate,2008,South Dakota,70,70
Voter turnout percent-college_degree_bachelor,2008,South Dakota,85,85
Voter turnout percent-advanced,2008,South Dakota,84,84
Voter turnout percent-no_high_school,2012,South Dakota,38,38
Voter turnout percent-high_school,2012,South Dakota,54,54
Voter turnout percent-college,2012,South Dakota,57,57
Voter turnout percent-college_degree_associate,2012,South Dakota,63,63
Voter turnout percent-college_degree_bachelor,2012,South Dakota,77,77
Voter turnout percent-advanced,2012,South Dakota,83,83
Voter turnout percent-hispanic,2004,South Dakota,57,57
Voter turnout percent-white,2004,South Dakota,70,70
Voter turnout percent-black,2004,South Dakota,34,34
Voter turnout percent-hispanic,2008,South Dakota,32,32
Voter turnout percent-white,2008,South Dakota,70,70
Voter turnout percent-black,2008,South Dakota,76,76
Voter turnout percent-hispanic,2012,South Dakota,23,23
Voter turnout percent-white,2012,South Dakota,64,64
Voter turnout percent-black,2012,South Dakota,17,17
Republican Vote Share-Aurora,2000,South Dakota,59.94,59.94
Republican Vote Share-Beadle,2000,South Dakota,56.17,56.17
Republican Vote Share-Bennett,2000,South Dakota,63.80,63.80
Republican Vote Share-Bon Homme,2000,South Dakota,60.56,60.56
Republican Vote Share-Brookings,2000,South Dakota,56.55,56.55
Republican Vote Share-Brown,2000,South Dakota,54.72,54.72
Republican Vote Share-Brule,2000,South Dakota,58.51,58.51
Republican Vote Share-Buffalo,2000,South Dakota,34.31,34.31
Republican Vote Share-Butte,2000,South Dakota,74.82,74.82
Republican Vote Share-Campbell,2000,South Dakota,80.59,80.59
Republican Vote Share-Charles Mix,2000,South Dakota,61.61,61.61
Republican Vote Share-Clark,2000,South Dakota,60.34,60.34
Republican Vote Share-Clay,2000,South Dakota,46.29,46.29
Republican Vote Share-Codington,2000,South Dakota,60.32,60.32
Republican Vote Share-Corson,2000,South Dakota,50.60,50.60
Republican Vote Share-Custer,2000,South Dakota,69.83,69.83
Republican Vote Share-Davison,2000,South Dakota,59.05,59.05
Republican Vote Share-Day,2000,South Dakota,50.77,50.77
Republican Vote Share-Deuel,2000,South Dakota,55.98,55.98
Republican Vote Share-Dewey,2000,South Dakota,45.27,45.27
Republican Vote Share-Douglas,2000,South Dakota,76.71,76.71
Republican Vote Share-Edmunds,2000,South Dakota,63.29,63.29
Republican Vote Share-Fall river,2000,South Dakota,63.72,63.72
Republican Vote Share-Faulk,2000,South Dakota,68.02,68.02
Republican Vote Share-Grant,2000,South Dakota,58.36,58.36
Republican Vote Share-Gregory,2000,South Dakota,65.88,65.88
Republican Vote Share-Haakon,2000,South Dakota,83.08,83.08
Republican Vote Share-Hamlin,2000,South Dakota,63.57,63.57
Republican Vote Share-Hand,2000,South Dakota,69.87,69.87
Republican Vote Share-Hanson,2000,South Dakota,66.43,66.43
Republican Vote Share-Harding,2000,South Dakota,88.92,88.92
Republican Vote Share-Hughes,2000,South Dakota,68.86,68.86
Republican Vote Share-Hutchinson,2000,South Dakota,68.88,68.88
Republican Vote Share-Hyde,2000,South Dakota,70.90,70.90
Republican Vote Share-Jackson,2000,South Dakota,66.06,66.06
Republican Vote Share-Jerauld,2000,South Dakota,55.61,55.61
Republican Vote Share-Jones,2000,South Dakota,76.66,76.66
Republican Vote Share-Kingsbury,2000,South Dakota,59.11,59.11
Republican Vote Share-Lake,2000,South Dakota,52.85,52.85
Republican Vote Share-Lawerence,2000,South Dakota,67.27,67.27
Republican Vote Share-Lincoln,2000,South Dakota,62.01,62.01
Republican Vote Share-Lyman,2000,South Dakota,63.13,63.13
Republican Vote Share-Marshall,2000,South Dakota,61.19,61.19
Republican Vote Share-McCook,2000,South Dakota,75.72,75.72
Republican Vote Share-McPherson,2000,South Dakota,52.77,52.77
Republican Vote Share-Meade,2000,South Dakota,73.35,73.35
Republican Vote Share-Mellette,2000,South Dakota,67.53,67.53
Republican Vote Share-Miner,2000,South Dakota,57.19,57.19
Republican Vote Share-Minnehaha,2000,South Dakota,54.47,54.47
Republican Vote Share-Moody,2000,South Dakota,49.76,49.76
Republican Vote Share-Pennington,2000,South Dakota,67.55,67.55
Republican Vote Share-Perkins,2000,South Dakota,76.64,76.64
Republican Vote Share-Potter,2000,South Dakota,74.43,74.43
Republican Vote Share-Roberts,2000,South Dakota,54.91,54.91
Republican Vote Share-Sanbron,2000,South Dakota,60.49,60.49
Republican Vote Share-Shannon,2000,South Dakota,12.90,12.90
Republican Vote Share-Spink,2000,South Dakota,59.59,59.59
Republican Vote Share-Stanely,2000,South Dakota,69.15,69.15
Republican Vote Share-Sully,2000,South Dakota,72.68,72.68
Republican Vote Share-Todd,2000,South Dakota,31.99,31.99
Republican Vote Share-Tripp,2000,South Dakota,69.04,69.04
Republican Vote Share-Turner,2000,South Dakota,62.79,62.79
Republican Vote Share-Union,2000,South Dakota,56.57,56.57
Republican Vote Share-Walworth,2000,South Dakota,68.86,68.86
Republican Vote Share-Yankton,2000,South Dakota,56.11,56.11
Republican Vote Share-Ziebach,2000,South Dakota,53.26,53.26
Republican Vote Share-Aurora,2004,South Dakota,61.2,61.2
Republican Vote Share-Beadle,2004,South Dakota,58,58
Republican Vote Share-Bennett,2004,South Dakota,51.1,51.1
Republican Vote Share-Bon Homme,2004,South Dakota,60.5,60.5
Republican Vote Share-Brookings,2004,South Dakota,57.3,57.3
Republican Vote Share-Brown,2004,South Dakota,55.8,55.8
Republican Vote Share-Brule,2004,South Dakota,58.7,58.7
Republican Vote Share-Buffalo,2004,South Dakota,26.5,26.5
Republican Vote Share-Butte,2004,South Dakota,74.1,74.1
Republican Vote Share-Campbell,2004,South Dakota,73.8,73.8
Republican Vote Share-Charles Mix,2004,South Dakota,53.3,53.3
Republican Vote Share-Clark,2004,South Dakota,61.7,61.7
Republican Vote Share-Clay,2004,South Dakota,43.9,43.9
Republican Vote Share-Codington,2004,South Dakota,61,61
Republican Vote Share-Corson,2004,South Dakota,41.8,41.8
Republican Vote Share-Custer,2004,South Dakota,67.9,67.9
Republican Vote Share-Davison,2004,South Dakota,62.1,62.1
Republican Vote Share-Day,2004,South Dakota,47.2,47.2
Republican Vote Share-Deuel,2004,South Dakota,58.3,58.3
Republican Vote Share-Dewey,2004,South Dakota,35.9,35.9
Republican Vote Share-Douglas,2004,South Dakota,79.3,79.3
Republican Vote Share-Edmunds,2004,South Dakota,64.2,64.2
Republican Vote Share-Fall river,2004,South Dakota,62.8,62.8
Republican Vote Share-Faulk,2004,South Dakota,69,69
Republican Vote Share-Grant,2004,South Dakota,58.5,58.5
Republican Vote Share-Gregory,2004,South Dakota,66.2,66.2
Republican Vote Share-Haakon,2004,South Dakota,81.2,81.2
Republican Vote Share-Hamlin,2004,South Dakota,64.6,64.6
Republican Vote Share-Hand,2004,South Dakota,67.8,67.8
Republican Vote Share-Hanson,2004,South Dakota,64.1,64.1
Republican Vote Share-Harding,2004,South Dakota,86.4,86.4
Republican Vote Share-Hughes,2004,South Dakota,68.1,68.1
Republican Vote Share-Hutchinson,2004,South Dakota,69.9,69.9
Republican Vote Share-Hyde,2004,South Dakota,70.1,70.1
Republican Vote Share-Jackson,2004,South Dakota,57.1,57.1
Republican Vote Share-Jerauld,2004,South Dakota,59.5,59.5
Republican Vote Share-Jones,2004,South Dakota,78.8,78.8
Republican Vote Share-Kingsbury,2004,South Dakota,59.9,59.9
Republican Vote Share-Lake,2004,South Dakota,55.9,55.9
Republican Vote Share-Lawerence,2004,South Dakota,64.5,64.5
Republican Vote Share-Lincoln,2004,South Dakota,65.4,65.4
Republican Vote Share-Lyman,2004,South Dakota,53,53
Republican Vote Share-Marshall,2004,South Dakota,52.5,52.5
Republican Vote Share-McCook,2004,South Dakota,61.7,61.7
Republican Vote Share-McPherson,2004,South Dakota,74.7,74.7
Republican Vote Share-Meade,2004,South Dakota,72.6,72.6
Republican Vote Share-Mellette,2004,South Dakota,59.4,59.4
Republican Vote Share-Miner,2004,South Dakota,55.1,55.1
Republican Vote Share-Minnehaha,2004,South Dakota,56.9,56.9
Republican Vote Share-Moody,2004,South Dakota,51.9,51.9
Republican Vote Share-Pennington,2004,South Dakota,66.7,66.7
Republican Vote Share-Perkins,2004,South Dakota,73.3,73.3
Republican Vote Share-Potter,2004,South Dakota,70.6,70.6
Republican Vote Share-Roberts,2004,South Dakota,48.1,48.1
Republican Vote Share-Sanbron,2004,South Dakota,57.3,57.3
Republican Vote Share-Shannon,2004,South Dakota,12.5,12.5
Republican Vote Share-Spink,2004,South Dakota,59.9,59.9
Republican Vote Share-Stanely,2004,South Dakota,69.6,69.6
Republican Vote Share-Sully,2004,South Dakota,76.6,76.6
Republican Vote Share-Todd,2004,South Dakota,25.2,25.2
Republican Vote Share-Tripp,2004,South Dakota,68.7,68.7
Republican Vote Share-Turner,2004,South Dakota,63.8,63.8
Republican Vote Share-Union,2004,South Dakota,56.6,56.6
Republican Vote Share-Walworth,2004,South Dakota,68.3,68.3
Republican Vote Share-Yankton,2004,South Dakota,57.5,57.5
Republican Vote Share-Ziebach,2004,South Dakota,40.1,40.1
Republican Vote Share-Aurora,2008,South Dakota,54.8,54.8
Republican Vote Share-Beadle,2008,South Dakota,53.72,53.72
Republican Vote Share-Bennett,2008,South Dakota,52.43,52.43
Republican Vote Share-Bon Homme,2008,South Dakota,55.6,55.6
Republican Vote Share-Brookings,2008,South Dakota,47.16,47.16
Republican Vote Share-Brown,2008,South Dakota,47.15,47.15
Republican Vote Share-Brule,2008,South Dakota,59.32,59.32
Republican Vote Share-Buffalo,2008,South Dakota,25.57,25.57
Republican Vote Share-Butte,2008,South Dakota,68.35,68.35
Republican Vote Share-Campbell,2008,South Dakota,70.86,70.86
Republican Vote Share-Charles Mix,2008,South Dakota,53.86,53.86
Republican Vote Share-Clark,2008,South Dakota,56.2,56.2
Republican Vote Share-Clay,2008,South Dakota,37.61,37.61
Republican Vote Share-Codington,2008,South Dakota,53.25,53.25
Republican Vote Share-Corson,2008,South Dakota,38.99,38.99
Republican Vote Share-Custer,2008,South Dakota,66.35,66.35
Republican Vote Share-Davison,2008,South Dakota,57.1,57.1
Republican Vote Share-Day,2008,South Dakota,43.46,43.46
Republican Vote Share-Deuel,2008,South Dakota,50.79,50.79
Republican Vote Share-Dewey,2008,South Dakota,33.17,33.17
Republican Vote Share-Douglas,2008,South Dakota,75.31,75.31
Republican Vote Share-Edmunds,2008,South Dakota,59.69,59.69
Republican Vote Share-Fall river,2008,South Dakota,63.7,63.7
Republican Vote Share-Faulk,2008,South Dakota,63.43,63.43
Republican Vote Share-Grant,2008,South Dakota,52.21,52.21
Republican Vote Share-Gregory,2008,South Dakota,64.86,64.86
Republican Vote Share-Haakon,2008,South Dakota,83.45,83.45
Republican Vote Share-Hamlin,2008,South Dakota,61.43,61.43
Republican Vote Share-Hand,2008,South Dakota,63.46,63.46
Republican Vote Share-Hanson,2008,South Dakota,59.74,59.74
Republican Vote Share-Harding,2008,South Dakota,80.99,80.99
Republican Vote Share-Hughes,2008,South Dakota,63.56,63.56
Republican Vote Share-Hutchinson,2008,South Dakota,64.79,64.79
Republican Vote Share-Hyde,2008,South Dakota,70.76,70.76
Republican Vote Share-Jackson,2008,South Dakota,60.56,60.56
Republican Vote Share-Jerauld,2008,South Dakota,50,50
Republican Vote Share-Jones,2008,South Dakota,75.9,75.9
Republican Vote Share-Kingsbury,2008,South Dakota,52.91,52.91
Republican Vote Share-Lake,2008,South Dakota,49.67,49.67
Republican Vote Share-Lawerence,2008,South Dakota,57.91,57.91
Republican Vote Share-Lincoln,2008,South Dakota,57.73,57.73
Republican Vote Share-Lyman,2008,South Dakota,55.74,55.74
Republican Vote Share-Marshall,2008,South Dakota,41.65,41.65
Republican Vote Share-McCook,2008,South Dakota,57.45,57.45
Republican Vote Share-McPherson,2008,South Dakota,67.48,67.48
Republican Vote Share-Meade,2008,South Dakota,66.72,66.72
Republican Vote Share-Mellette,2008,South Dakota,54.4,54.4
Republican Vote Share-Miner,2008,South Dakota,48.82,48.82
Republican Vote Share-Minnehaha,2008,South Dakota,49.63,49.63
Republican Vote Share-Moody,2008,South Dakota,47.56,47.56
Republican Vote Share-Pennington,2008,South Dakota,60.8,60.8
Republican Vote Share-Perkins,2008,South Dakota,68.83,68.83
Republican Vote Share-Potter,2008,South Dakota,66.03,66.03
Republican Vote Share-Roberts,2008,South Dakota,40,40
Republican Vote Share-Sanbron,2008,South Dakota,57.23,57.23
Republican Vote Share-Shannon,2008,South Dakota,10.01,10.01
Republican Vote Share-Spink,2008,South Dakota,51.71,51.71
Republican Vote Share-Stanely,2008,South Dakota,66.6,66.6
Republican Vote Share-Sully,2008,South Dakota,71.38,71.38
Republican Vote Share-Todd,2008,South Dakota,20.55,20.55
Republican Vote Share-Tripp,2008,South Dakota,67.04,67.04
Republican Vote Share-Turner,2008,South Dakota,60.16,60.16
Republican Vote Share-Union,2008,South Dakota,57.06,57.06
Republican Vote Share-Walworth,2008,South Dakota,64.38,64.38
Republican Vote Share-Yankton,2008,South Dakota,51.02,51.02
Republican Vote Share-Ziebach,2008,South Dakota,36.03,36.03
Republican Vote Share-Aurora,2012,South Dakota,57.43,57.43
Republican Vote Share-Beadle,2012,South Dakota,58.24,58.24
Republican Vote Share-Bennett,2012,South Dakota,52.04,52.04
Republican Vote Share-Bon Homme,2012,South Dakota,59.53,59.53
Republican Vote Share-Brookings,2012,South Dakota,50.16,50.16
Republican Vote Share-Brown,2012,South Dakota,51.79,51.79
Republican Vote Share-Brule,2012,South Dakota,63.01,63.01
