Subject,Year,State,Population,population_percent
20 to 24 years,2004,Rhode Island,78101,7.267913642
25 to 34 years,2004,Rhode Island,299215,27.84431416
35 to 44 years,2004,Rhode Island,163972,15.25888703
45 to 54 years,2004,Rhode Island,156391,14.55341522
55 to 59 years,2004,Rhode Island,62256,5.793411502
60 to 64 years,2004,Rhode Island,45973,4.278150009
65 to 74 years,2004,Rhode Island,68002,6.328122092
75 to 84 years,2004,Rhode Island,58427,5.437092872
85 years and over,2004,Rhode Island,23274,2.165829146
White,2004,Rhode Island,962437,89.56234878
Black,2004,Rhode Island,65958,6.137911781
American Indian,2004,Rhode Island,6366,0.592406477
Asian,2004,Rhode Island,28763,2.67662386
Native,2004,Rhode Island,1275,0.1186488
Two or more races,2004,Rhode Island,15833,1.473385446
Total population,2008,Rhode Island,1055000,100
Male,2008,Rhode Island,509591,48.30246445
Female,2008,Rhode Island,545412,51.69781991
Under 5 years,2008,Rhode Island,59081,5.600094787
5 to 9 years,2008,Rhode Island,60974,5.779526066
10 to 14 years,2008,Rhode Island,65974,6.253459716
15 to 19 years,2008,Rhode Island,82103,7.782274882
20 to 24 years,2008,Rhode Island,80076,7.59014218
25 to 34 years,2008,Rhode Island,272611,25.83990521
35 to 44 years,2008,Rhode Island,145423,13.78417062
45 to 54 years,2008,Rhode Island,162107,15.36559242
55 to 59 years,2008,Rhode Island,67195,6.369194313
60 to 64 years,2008,Rhode Island,55180,5.230331754
65 to 74 years,2008,Rhode Island,70415,6.674407583
75 to 84 years,2008,Rhode Island,53604,5.080947867
85 years and over,2008,Rhode Island,25683,2.434407583
White,2008,Rhode Island,932528.5,88.39132701
Black,2008,Rhode Island,71938.5,6.818815166
American Indian,2008,Rhode Island,8068,0.764739336
Asian,2008,Rhode Island,31573,2.992701422
Native,2008,Rhode Island,1505,0.142654028
Two or more races,2008,Rhode Island,20899.5,1.980995261
Total population,2012,Rhode Island,1052400,100
Male,2012,Rhode Island,508247,48.2940897
Female,2012,Rhode Island,543055,51.60157735
Under 5 years,2012,Rhode Island,55661,5.288958571
5 to 9 years,2012,Rhode Island,59454,5.649372862
10 to 14 years,2012,Rhode Island,61995,5.890820981
15 to 19 years,2012,Rhode Island,76632,7.281641961
20 to 24 years,2012,Rhode Island,83177,7.903553782
25 to 34 years,2012,Rhode Island,132528,12.59293044
35 to 44 years,2012,Rhode Island,129140,12.27099962
45 to 54 years,2012,Rhode Island,158065,15.01947929
55 to 59 years,2012,Rhode Island,75180,7.143671608
60 to 64 years,2012,Rhode Island,61999,5.891201064
65 to 74 years,2012,Rhode Island,82230,7.813568985
75 to 84 years,2012,Rhode Island,48816,4.638540479
85 years and over,2012,Rhode Island,27516,2.614595211
White,2012,Rhode Island,902620,85.76776891
Black,2012,Rhode Island,77919,7.403933865
American Indian,2012,Rhode Island,9770,0.928354238
Asian,2012,Rhode Island,34383,3.267103763
Native,2012,Rhode Island,1735,0.164861269
Two or more races,2012,Rhode Island,25966,2.467312809
Total population,2016,Rhode Island,1055000,100
Male,2016,Rhode Island,511949,48.52597156
Female,2016,Rhode Island,544349,51.59706161
Under 5 years,2016,Rhode Island,55128,5.225402844
5 to 9 years,2016,Rhode Island,56866,5.39014218
10 to 14 years,2016,Rhode Island,60536,5.738009479
15 to 19 years,2016,Rhode Island,73659,6.981895735
20 to 24 years,2016,Rhode Island,79833,7.567109005
25 to 34 years,2016,Rhode Island,141516,13.41383886
35 to 44 years,2016,Rhode Island,124128,11.7656872
45 to 54 years,2016,Rhode Island,149831,14.20199052
55 to 59 years,2016,Rhode Island,77841,7.378293839
60 to 64 years,2016,Rhode Island,66984,6.349194313
65 to 74 years,2016,Rhode Island,93354,8.848720379
75 to 84 years,2016,Rhode Island,48209,4.56957346
85 years and over,2016,Rhode Island,28413,2.693175355
White,2016,Rhode Island,895343,84.86663507
Black,2016,Rhode Island,83101,7.876872038
American Indian,2016,Rhode Island,10192,0.966066351
Asian,2016,Rhode Island,37871,3.589668246
Native,2016,Rhode Island,1882,0.178388626
Two or more races,2016,Rhode Island,27909,2.645402844
Voter Turnout percent,2016,South Dakota,69.62,69.62
Voter Turnout percent,2012,South Dakota,69.72,69.72
Voter Turnout percent,2008,South Dakota,73.02,73.02
Voter Turnout percent,2004,South Dakota,71.233,71.233
Voter Turnout percent,2000,South Dakota,66.73,66.73
Voter Turnout percent,2016,Rhode Island,59.3,59.3
Voter Turnout percent,2012,Rhode Island,62.5,62.5
Voter Turnout percent,2008,Rhode Island,67.4,67.4
Voter Turnout percent,2004,Rhode Island,63.7,63.7
Voter Turnout percent,2000,Rhode Island,63.5,63.5
Democrat vote percent,2000,South Dakota,35.72,35.72
Democrat vote percent,2004,South Dakota,38,38
Democrat vote percent,2008,South Dakota,43.05,43.05
Democrat vote percent,2012,South Dakota,38.28,38.28
Democrat vote percent,2016,South Dakota,28.28,28.28
Republican vote percent,2000,South Dakota,61.79,61.79
Republican vote percent,2004,South Dakota,60.25,60.25
Republican vote percent,2008,South Dakota,54.62,54.62
Republican vote percent,2012,South Dakota,59.58,59.58
Republican vote percent,2016,South Dakota,66,66
Democrat vote percent,2000,Rhode Island,61,61
Democrat vote percent,2004,Rhode Island,59.42,59.42
Democrat vote percent,2008,Rhode Island,62.86,62.86
Democrat vote percent,2012,Rhode Island,62.7,62.7
Democrat vote percent,2016,Rhode Island,54.4,54.4
Republican vote percent,2000,Rhode Island,31.9,31.9
Republican vote percent,2004,Rhode Island,38.67,38.67
Republican vote percent,2008,Rhode Island,35.06,35.06
Republican vote percent,2012,Rhode Island,35.2,35.2
Republican vote percent,2016,Rhode Island,38.9,38.9
